PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
621,24832684,5103278,CN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=S)NC(=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",19.1273,16.5842,24.6374,20.5048,12.6635,>,66,,,"0,0,0,0,0",6.68948,12.9729,12.4404,14.0379,5.62449,,,,,,,,,,,,,,,
622,851304,653866,CN1CCN(CC1)C2=C(C(=O)N(C2=O)CCC3=CC=CC=C3)Cl,Inactive,41,,,=,49.1,>,66,,,"0,0,0,0,0",25.9658,20.4278,14.8899,11.2689,13.1859,=,58.261,,1,"0,0,0,0,0",47.6315,36.8232,19.1273,20.5048,20.1869,>,66,,,"0,0,0,0,0,0,0,0,0,0",55.0665,42.5834,-10.4699,13.939,24.7503,-30.5321,14.3849,11.9328,24.7503,-44.7985
623,24795929,2937007,CCOC(=O)N1CCC2=C(C1)C3=C(N2)C=CC(=C3)C,Inactive,41,,,=,55.2,>,66,,,"0,0,0,0,0",21.9188,3.60101,4.87899,4.24,9.56495,=,65.814,,1,"0,0,0,0,0",51.6582,34.3861,13.7231,11.286,12.7695,=,44.604,,1.884,"0,0,0,0,0,0,0,0,0,0",47.7104,21.6295,2.01321,-5.90021,-7.46059,-9.46681,3.68506,-7.68352,-5.78874,-24.402
624,24792542,973818,CC(C)C1=CC(=C(C=C1)O)NC(=S)NC(=O)CCC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.8754,15.6305,12.4516,11.18,11.8158,>,66,,,"0,0,0,0,0",9.67144,7.11547,13.7184,13.1859,12.4404,,,,,,,,,,,,,,,
625,24792510,2141684,C=CCNC(=S)NS(=O)(=O)C1=CC=CS1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.4516,13.8291,10.8621,16.6901,9.80247,>,66,,,"0,0,0,0,0",8.81946,7.22197,4.98549,9.88445,9.45845,,,,,,,,,,,,,,,
626,17508878,3138397,C1=CC=C(C=C1)S(=O)(=O)NNC(=S)NC(=O)C2=CC=CC=C2[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.4319,12.5575,18.1736,11.9217,12.5575,>,66,,,"0,0,0,0,0",9.99094,14.2509,10.5234,10.3104,10.5234,,,,,,,,,,,,,,,
627,14746590,2587056,CC1=CC(=NC2=NC(=NN12)SCC3=CC(=O)OC4=C3C5=CC=CC=C5C=C4)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.80092,3.05537,0.71224,3.37489,1.8838,>,66,,,"0,0,0,0,0",10.2102,15.2785,12.6927,12.7961,13.2098,,,,,,,,,,,,,,,
628,26665710,135403797,C1=CC2=CC(=C(C(=C2C(=O)C(=C1)O)O)O)O,Inactive,41,,,=,47.95,>,66,,,"0,0,0,0,0",39.3664,9.37863,-0.0522,-1.85354,4.50429,>,66,,,"0,0,0,0,0",33.9532,16.1679,-2.04344,-3.85392,11.4819,=,26.624,,3.497,"0,0,0,0,0,0,0,0,0,0",57.7415,43.8094,21.9639,6.69438,12.0443,10.1495,14.4963,17.3942,15.388,13.0474
629,17506103,976395,C1=CC2=C(C(=O)N=C2C=C1)C3=C(N(NC3=O)C4=CC(=CC=C4)F)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.10706,3.23272,2.7029,11.8158,10.2263,>,66,,,"0,0,0,0,0",-0.126453,7.86097,13.7184,20.1083,12.8664,,,,,,,,,,,,,,,
630,24779537,4207951,COC1=CC=C(C=C1)NC(=O)CSC2=NN=C(C(=O)N2N)CCC(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.21302,17.3259,16.1603,23.3658,15.6305,>,66,,,"0,0,0,0,0",13.1859,16.1679,12.8664,15.7419,16.2744,,,,,,,,,,,,,,,
631,24794008,2946462,CC1CN(CC(O1)C)C(=S)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.1204,17.9617,20.6108,22.6241,23.5778,>,66,,,"0,0,0,0,0",3.60101,12.4404,8.28696,9.56495,7.86097,,,,,,,,,,,,,,,
632,24785207,16188729,C1CC2CN(CCN2C1)C3=NC4=NON=C4N=C3N5CCSCC5,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",33.0085,29.7237,6.51761,21.7764,14.3589,>,66,,,"0,0,0,0,0",20.3213,15.5289,11.8014,11.0559,9.35195,>,66,,,"0,0,0,0,0,0,0,0,0,0",38.348,14.7192,4.91107,10.7068,8.92351,10.261,2.68194,7.25166,5.80272,7.1402
633,49821327,6222244,COC1=CC=CC(=C1)/C=C\2/C(=O)N(C(=O)S2)CC(=O)NC3CS(=O)(=O)C=C3,Inactive,41,,,=,56.6,>,66,,,"0,0,0,0,0",38.6246,28.0282,18.2796,12.7695,21.1406,>,66,,,"0,0,0,0,0",26.6048,21.1733,16.3809,13.7184,11.3754,>,66,,,"0,0,0,0,0,0,0,0,0,0",43.2521,30.5461,24.8618,24.4159,23.4128,14.6078,8.58914,11.487,12.3787,9.36933
634,49829334,5897296,C1=CC=C(C(=C1)C(=O)N=N/C=C\2/C(=NC(=O)S2)N3C=CC(=C4C=CNC=C4)C=C3)O,Inactive,41,,,=,42.67,=,25.1,,1,"0,0,0,0,0",91.9244,72.4271,49.4329,29.8296,32.3728,=,13.576,,1,"0,0,0,0,0",78.6827,57.809,36.4027,21.1733,13.7184,>,66,,,"0,0,0,0,0,0,0,0,0,0",-5.34293,2.90485,0.564272,-1.55341,5.24544,19.8463,15.9453,10.5954,3.68506,15.1651
635,26671226,5720057,CC1=C[N+](=CC=C1)C2=C(SC(=N2)[O-])/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,=,33.3,=,64.398,,1,"0,0,0,0,0",10.0144,5.77585,6.62356,10.0144,7.3653,>,66,,,"0,0,0,0,0",52.5905,33.6337,18.4044,9.77794,6.79598,>,66,,,"0,0,0,0,0,0,0,0,0,0",-3.89399,-11.5845,-2.55651,12.2672,1.12156,1.12156,-3.55961,1.12156,0.341363,-6.23458
636,864032,665283,CC(=O)C1=CC=C(C=C1)NC(=O)C2CCCNC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.29236,9.90844,3.33869,7.15338,13.0874,>,66,,,"0,0,0,0,0",2.74901,9.99094,3.70751,8.71295,10.6299,,,,,,,,,,,,,,,
637,24837870,2455058,COC1=CC(=CC(=C1O)O)C(=S)N2CCN(CC2)C3=CC=CC=C3Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.89703,3.28151,9.03245,11.8014,12.0144,>,66,,,"0,0,0,0,0",2.91483,1.96116,11.18,12.6635,12.4516,,,,,,,,,,,,,,,
638,14745068,705876,CC1=C(SC2=C1C(=O)N3C(=N2)C=CC(=N3)NCC4=CC=CO4)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-11.9478,-7.26189,3.38801,6.90247,7.43497,>,66,,,"0,0,0,0,0",0.689599,2.59693,10.7561,9.37863,13.6172,,,,,,,,,,,,,,,
639,92764420,3005305,CC(=NNC(=S)NC)C1=C(C=C(C=C1)OC)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.445953,1.57753,0.512539,3.38801,6.36998,>,66,,,"0,0,0,0,0",2.06711,10.8621,8.53091,7.15338,17.3259,,,,,,,,,,,,,,,
640,26730275,5883623,C1=CC(=CC=C1N/N=C(/C#N)\C(=S)N)OC(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.5234,12.2274,7.86097,5.83749,12.6534,>,66,,,"0,0,0,0,0",12.9814,14.253,14.041,8.53091,11.6039,,,,,,,,,,,,,,,
641,17401712,611216,CC1=NN(C2=CC=CC3=C(C=CC1=C32)OC)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",34.3792,25.9658,25.2203,18.5109,11.3754,>,66,,,"0,0,0,0,0",47.3137,37.565,30.9952,25.0613,18.0677,>,66,,,"0,0,0,0,0,0,0,0,0,0",109.68,72.0079,43.475,37.9022,30.5461,-0.104473,11.1526,23.9701,-37.2195,5.13398
642,861765,662994,CC1=CC=CC=C1C2=NN=C(N2N)SCC(=O)NC3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.87899,13.0794,11.1624,9.24545,14.7834,>,66,,,"0,0,0,0,0",2.38501,3.23272,4.71621,9.37863,5.0341,,,,,,,,,,,,,,,
643,24796980,2205462,COC1=CC(=CC(=C1)NC(=S)NC2=CC=C(C=C2)OC(F)F)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.092,7.11547,9.24545,11.6949,9.13895,>,66,,,"0,0,0,0,0",7.47127,6.72953,8.53091,11.3919,11.3919,,,,,,,,,,,,,,,
644,17510209,12005122,COC1=CC=C(C=C1)C2=NC(=O)/C(=C\C3=CC(=C(C(=C3)OC)OC)OC)/O2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",22.7708,5.19849,5.73099,-3.10843,-0.23295,>,66,,,"0,0,0,0,0",18.3855,15.2066,-21.139,-4.82053,1.74924,,,,,,,,,,,,,,,
645,47196739,2173158,CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2OC)C(=S)N3CCOCC3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.5884,17.0199,10.3104,8.49996,6.47648,>,66,,,"0,0,0,0,0",7.57724,17.3259,14.9947,16.1603,8.95477,,,,,,,,,,,,,,,
646,24796342,1014343,C1CCC(=CC1)CCNC(=S)NC(=O)C2=CC=CC=C2Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.7725,8.28696,9.77794,9.13895,12.0144,>,66,,,"0,0,0,0,0",-0.899858,1.11345,14.041,8.84881,17.5378,,,,,,,,,,,,,,,
647,4255522,845171,CC1=CC(=NO1)NC(=O)CSC2=NCCS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.1209,11.3754,7.32847,4.3465,5.83749,>,66,,,"0,0,0,0,0",13.2993,12.9814,15.3126,17.9617,13.5112,,,,,,,,,,,,,,,
648,4261558,2033526,CC1=CC(N2C3=C1C=C(C=C3/C(=C/4\C(=O)N=C(S4)NC(=O)C)/C2=O)OC)(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.92596,7.86097,4.87899,6.58297,7.75447,>,66,,,"0,0,0,0,0",18.3855,12.8754,13.1933,15.7364,7.78917,,,,,,,,,,,,,,,
649,24840326,2551569,C1CN(CCN1C2=NC=CC=N2)C(=O)C3=C(C4=CC=CC=C4O3)CSCC5=CC=CC=C5,Inactive,41,,,=,38.5,>,66,,,"0,0,0,0,0",32.4622,21.0668,13.7184,8.18046,5.94398,=,35.503,,1,"0,0,0,0,0",62.5724,45.5123,31.4191,23.5778,16.4782,=,35.745,,1.16,"0,0,0,0,0,0,0,0,0,0",89.2836,62.6455,34.2241,12.713,11.1526,-7.46059,-1.33048,-9.46681,-7.79497,-2.89089
650,57266415,9503615,CC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCN(CC2)CCOC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.43497,13.9314,8.81946,12.7599,9.45845,>,66,,,"0,0,0,0,0",15.5245,9.48459,19.975,15.7364,24.9553,,,,,,,,,,,,,,,
651,7969453,3245460,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.42211,4.97248,6.88959,-1.6309,3.90742,>,66,,,"0,0,0,0,0",14.4511,6.58998,4.10754,-4.47758,-2.20201,,,,,,,,,,,,,,,
652,17503850,1950007,COC1=NC=CN=C1NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.1026,5.71802,4.86598,3.4814,2.73586,>,66,,,"0,0,0,0,0",1.21136,6.0728,-1.99512,-0.650478,5.76251,,,,,,,,,,,,,,,
653,22402803,2111906,CC1=CC(=C(N1C2=CC=CC=C2F)C)C(=O)CSC3=CC=C(C=C3)NC(=O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.286214,3.26839,8.59369,9.01971,7.95465,>,66,,,"0,0,0,0,0",-7.68405,-0.753904,2.65946,4.72816,4.0041,,,,,,,,,,,,,,,
654,16953455,4882792,C1CCC2(CC1)C(C(=NC(=C2C#N)N)SCC3=CC=CC4=CC=CC=C43)C(=O)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.09681,-2.80246,3.5879,9.65875,3.6944,>,66,,,"0,0,0,0,0",-4.06383,-5.61535,-0.443596,-3.54665,1.21136,,,,,,,,,,,,,,,
655,49815956,1307710,CC1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-4.29355,2.84236,2.09681,6.46357,9.97826,>,66,,,"0,0,0,0,0",-5.82224,-6.13253,-5.51193,1.10793,4.93503,,,,,,,,,,,,,,,
656,24816900,5223767,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)CC3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.48718,5.292,7.1026,9.87176,4.22693,>,66,,,"0,0,0,0,0",25.1049,6.48656,5.86594,2.03884,1.72853,,,,,,,,,,,,,,,
657,14730024,2768911,CC1(OCCO1)C2=CC3=C(ON=C3C=C2)C4=CC=C(C=C4)F,Active,55,,,=,19.3,=,15.724,,1,"0,0,0,0,0",108.68,86.7522,62.5484,32.4488,23.8637,=,9.965,,1,"0,0,0,0,0",88.5797,72.2843,49.492,29.5754,16.5816,=,29.223,,0.905,"0,0,0,0,0,0,0,0,0,0",134.201,107.562,64.8747,43.1407,23.1899,0.675719,1.79028,0.00699,-9.02099,-12.922
658,26671257,737540,COC1=CC=CC=C1N2C=C(NC2=S)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-9.19282,-9.29933,-10.7904,-10.0449,-0.672342,>,66,,,"0,0,0,0,0",-11.3043,-7.06345,-6.85659,-13.1661,1.62511,,,,,,,,,,,,,,,
659,14738361,3655913,CC(C)C(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.01971,1.7773,4.86598,-1.09837,0.71224,>,66,,,"0,0,0,0,0",1.10793,1.72853,-1.06421,5.03845,-5.09818,,,,,,,,,,,,,,,
660,14726775,713529,CCOC(=O)C1=C(NC2=C(S1)C=C(C=C2)C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-69.6883,-56.0555,2.94887,-0.352821,2.62934,>,66,,,"0,0,0,0,0",-70.9864,-77.1925,-9.75276,2.76288,1.3148,,,,,,,,,,,,,,,
661,14729167,2977827,CC1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.14405,0.925249,3.16187,4.33345,5.71802,>,66,,,"0,0,0,0,0",-5.09818,-4.99475,-2.20201,-0.857346,-3.23636,,,,,,,,,,,,,,,
662,89855838,256430,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)NC=O,Inactive,41,,,=,37.06,=,40.55,,1,"0,0,0,0,0",53.4327,43.1016,35.6462,23.185,11.3628,=,41.514,,1,"0,0,0,0,0",47.4469,45.2747,36.9999,23.4499,13.5201,>,66,,,"0,0,0,0,0,0,0,0,0,0",32.7752,40.9115,35.0043,-47.362,18.2858,28.2055,-159.599,13.3818,28.2055,-134.632
663,14739933,2765871,CCOC(=O)C(CSCC(=O)C1=C(C=C(C=C1)Cl)Cl)NC(=O)OC(C)(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.2039,14.9964,10.7364,10.8429,12.9729,>,66,,,"0,0,0,0,0",9.48459,7.89512,17.8557,14.5708,18.9154,,,,,,,,,,,,,,,
664,24780947,3327769,CC(=O)C1=C(NC(=NC1=S)C2=CC=CC=C2)NC(=O)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.3809,11.8014,10.6299,8.81946,11.5884,>,66,,,"0,0,0,0,0",11.3919,10.1204,16.6901,10.9681,12.6635,,,,,,,,,,,,,,,
665,24797073,1442866,CC(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)C3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.13895,8.71295,7.00897,4.02701,4.666,>,66,,,"0,0,0,0,0",14.147,13.4052,20.9287,8.74284,16.1603,,,,,,,,,,,,,,,
666,3711444,2575371,C1=CC=C2C(=C1)C(=O)N(C(=N2)SCC(=O)NC3=C(C=CS3)C(=O)N)CCCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-8.11387,-6.09039,1.68403,-5.6644,1.36453,>,66,,,"0,0,0,0,0",2.49098,7.25935,10.0144,4.18639,8.95477,,,,,,,,,,,,,,,
667,24835364,3515733,CN1CCN(CC1)C(C2=CC=CC=N2)C3=CC(=C4C=CC=NC4=C3O)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-10.4568,-2.46943,-1.29794,-5.7709,1.25803,>,66,,,"0,0,0,0,0",-1.74757,-10.8605,-7.46962,-1.85354,-0.0522,,,,,,,,,,,,,,,
668,17516224,3254772,CN1C2=CC=CC=C2N=C1C(C#N)C3=C(C(=O)N(N=C3[N+](=O)[O-])C)Cl,Inactive,41,,,=,30.8,=,46.851,,1,"0,0,0,0,0",107.289,79.1028,51.0224,23.8957,0.689599,=,15.224,,1,"0,0,0,0,0",74.8488,54.9335,26.2853,-10.0309,-47.5185,=,28.65,,2.263,"0,0,0,0,0,0,0,0,0,0",114.361,70.8933,27.2024,-2.55651,-12.922,-18.6062,-7.90643,-5.90021,-6.01167,5.24544
669,24804057,5346722,C1=CC=C(C=C1)/C=C/C(=O)C2=C(C(=O)N(C2C3=CC=CC=C3[N+](=O)[O-])CCCCCC(=O)O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.57724,9.06073,13.1933,6.72953,6.51761,>,66,,,"0,0,0,0,0",-4.06692,0.938536,0.0865,6.26348,5.51799,,,,,,,,,,,,,,,
670,24802614,767072,CC(=O)NC1=C(C2=CC=CC=C2OC1=O)NC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.95477,10.6502,12.8754,8.10706,4.61026,>,66,,,"0,0,0,0,0",2.21652,2.96202,3.06852,3.49451,3.38801,,,,,,,,,,,,,,,
671,22415357,1559165,C1=CC(=CN=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.0093,19.8549,16.168,7.84619,19.3282,>,66,,,"0,0,0,0,0",2.66625,4.08689,11.6272,7.3653,10.0973,,,,,,,,,,,,,,,
672,26727190,2826435,CC1=CC(=CC(=C1)N2C(=O)CC(C2=O)SC3=CC=CC=C3C(=O)O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.0093,17.2214,16.0627,14.6932,10.6904,>,66,,,"0,0,0,0,0",19.6047,14.9056,9.98803,10.8623,3.21265,,,,,,,,,,,,,,,
673,17403600,257242,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=CS4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.79423,8.47821,9.53161,11.6384,13.3238,>,66,,,"0,0,0,0,0",1.2456,-0.393601,0.0435,0.589923,2.99409,,,,,,,,,,,,,,,
674,14735376,7064848,CC1=C(C(=CC=C1)C)NC2=C(N=C3N2C=CN=C3)C4=CC=C(O4)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",33.4436,24.1738,15.4306,16.0627,9.53161,>,66,,,"0,0,0,0,0",10.3159,2.11985,-1.04928,-4.76481,-0.830724,>,66,,3.797,"0,0,0,0,0,0,0,0,0,0",13.8276,10.8183,3.12778,-3.3367,-11.9189,-7.23768,0.00699,1.01009,4.5767,-8.35225
675,51088811,2144321,CCOC1=C(C=C(C=C1)/C=C\2/C(=O)N3C(=NC(=N3)C4=CC=CO4)S2)OCC,Inactive,41,,,=,48.8,>,66,,,"0,0,0,0,0",20.5882,4.30546,1.02705,4.30546,5.17969,=,41.866,,1,"0,0,0,0,0",69.7857,35.0237,21.0136,17.3267,27.8606,=,21.264,,4.287,"0,0,0,0,0,0,0,0,0,0",32.9981,29.6544,15.388,7.92039,11.1526,9.25788,9.25788,8.03185,11.0412,7.25166
676,26663674,942148,CN(C)C1=C(N=C(O1)C2=CC=CC=C2[N+](=O)[O-])C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",22.4884,18.6961,16.8,18.9068,15.2199,>,66,,,"0,0,0,0,0",-3.12561,7.25602,7.03746,4.41473,4.85186,,,,,,,,,,,,,,,
677,24841365,2461057,CC(=O)C1=CC=C(C=C1)NC(=S)NCCC2=CC=C(C=C2)S(=O)(=O)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.31949,7.74084,5.63405,1.84183,4.47532,>,66,,,"0,0,0,0,0",2.88481,3.32193,-3.56273,-2.68849,0.80848,,,,,,,,,,,,,,,
678,17516330,6706,CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,Inactive,41,,,=,49.15,>,66,,,"0,0,0,0,0",46.3784,32.9369,15.5613,10.4252,5.28898,=,35.51,,1,"0,0,0,0,0",59.8838,48.9285,31.9689,21.6456,15.7466,=,29.096,,1.169,"0,0,0,0,0,0,0,0,0,0",67.7725,46.4843,29.7659,11.8214,9.36933,-5.56583,-7.12624,-12.0303,-3.55961,2.57049
679,3717882,2161805,C1OC2=C(O1)C=C(C=C2)NS(=O)(=O)C3=CC=CC(=C3)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",19.5388,15.5359,12.2704,11.4277,13.8505,>,66,,,"0,0,0,0,0",12.72,6.60034,6.70962,1.02705,7.80242,,,,,,,,,,,,,,,
680,4247922,3242071,COC(=O)C1=C(N(C(=S)S1)C2=C(C=CC(=C2)F)F)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.42338,9.84763,10.1637,14.1665,13.1131,>,66,,,"0,0,0,0,0",4.08689,8.89522,7.58386,9.0045,2.44768,,,,,,,,,,,,,,,
681,7978060,2917455,COC1=CC=CC=C1OCC(=O)NCCNC(=O)COC2=CC=CC=C2OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-8.95311,-6.93981,-9.80082,-10.2247,-4.82053,>,66,,,"0,0,0,0,0",5.19849,9.56495,5.51799,4.24,1.89703,,,,,,,,,,,,,,,
682,22403373,671768,COC1=CC=CC(=C1)NC(=O)CSC(=O)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.6635,6.41164,9.48459,5.77585,13.0874,>,66,,,"0,0,0,0,0",11.3754,10.3104,11.9079,8.60646,4.98549,,,,,,,,,,,,,,,
683,49822149,6237483,C1CS(=O)(=O)CC1NC(=O)CN2C(=O)/C(=C/C3=CC=CC=C3Cl)/SC2=S,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",9.90844,6.30567,-0.370039,-65.9616,-2.80721,>,66,,,"0,0,0,0,0",7.75447,7.96746,9.56495,7.22197,9.45845,,,,,,,,,,,,,,,
684,4263400,1245402,C1CSC(=N1)NC(=O)C2=CSC3=CC=CC=C32,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.92815,5.24603,7.25935,4.29236,3.97447,>,66,,,"0,0,0,0,0",5.092,4.1335,9.45845,7.64796,7.75447,,,,,,,,,,,,,,,
685,24819250,1481663,CC(=O)C(C(=O)C)SC1=NC=CC(=N1)C2=CC=CS2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.5373,6.09374,7.78917,4.92815,3.33869,>,66,,,"0,0,0,0,0",8.49996,5.19849,7.32847,9.03245,7.32847,,,,,,,,,,,,,,,
686,17513188,1875186,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC(=S)NNC(=O)C3=CC=NC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.74924,1.32537,5.98779,3.23272,9.06073,>,66,,,"0,0,0,0,0",8.49996,4.5595,5.41149,6.79598,6.47648,,,,,,,,,,,,,,,
687,14732669,1942357,COC(=O)C1=CC2=C(C=C1)C(=O)N(C(=S)N2)NC(=O)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.88017,-6.83384,0.371704,4.92815,3.12675,>,66,,,"0,0,0,0,0",4.453,2.32302,6.36998,2.85551,1.04503,,,,,,,,,,,,,,,
688,17412226,1230208,CC1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)C3=C(N(N(C3=O)C4=CC=CC=C4)C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.82218,2.27906,3.44465,5.66989,1.74924,>,66,,,"0,0,0,0,0",11.9079,5.30499,3.60101,9.88445,3.49451,,,,,,,,,,,,,,,
689,26664664,256561,CC1=CC=CC=C1N2CCN(CC2)C(=S)C3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.86851,-4.82053,-0.264085,-2.38336,-1.64162,>,66,,,"0,0,0,0,0",3.814,1.68403,2.85551,10.3104,5.83749,,,,,,,,,,,,,,,
690,3713382,2998390,C1OC2=C(O1)C=C(C=C2)C(CC(=O)C3=CC=CS3)SCCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.09374,4.18639,6.72953,5.88182,1.5373,>,66,,,"0,0,0,0,0",7.00897,4.98549,4.3465,3.38801,2.53602,,,,,,,,,,,,,,,
